,Director Name,Title,Budget,Box Office,Rating,Number of Ratings,Genre,Date of Release,Production House,Runtime,MPAA Rating
6497,William Dieterle,Magic Fire,0.0,0.0,5.8,4.0,Drama,1955-06-30,Republic Pictures,95.0,
6498,William Dieterle,Scarlet Dawn,0.0,0.0,6.5,2.0,Drama,1932-11-12,The Vitaphone Corporation,76.0,NR
6499,William Dieterle,Peking Express,0.0,0.0,8.0,1.0,Drama,1951-08-01,Hal Wallis Productions,95.0,NR
6500,William Dieterle,"Ludwig II, King of Bavaria",0.0,0.0,5.0,1.0,History,1930-03-10,Deutsche Universal-Film,117.0,NULL
6501,William Dieterle,The Crash,0.0,0.0,5.2,4.0,Drama,1932-10-09,The Vitaphone Corporation,58.0,
6502,William Dieterle,Boots Malone,0.0,0.0,7.5,3.0,Drama,1952-01-11,Columbia Pictures,102.0,NR
6503,William Dieterle,One Hour of Happiness,0.0,0.0,4.0,1.0,Drama,1931-03-16,Cicero Film,82.0,NULL
6504,William Dieterle,From Headquarters,0.0,0.0,5.6,5.0,Mystery,1933-11-16,The Vitaphone Corporation,64.0,NR
6505,William Dieterle,Adorable,0.0,0.0,3.0,2.0,Romance,1933-05-18,Fox Film Corporation,88.0,
6506,William Dieterle,Omar Khayyam,0.0,0.0,5.0,4.0,Adventure,1957-08-23,Paramount,101.0,NULL
6507,William Dieterle,Mistress of the World - Part I,0.0,0.0,7.0,2.0,Science Fiction,1960-04-14,Franco London Films,98.0,NULL
6508,William Dieterle,This Love of Ours,0.0,0.0,5.7,3.0,Drama,1945-11-02,Universal Pictures,90.0,NR
6509,William Dieterle,Dr. Socrates,0.0,0.0,6.2,6.0,Crime,1935-10-19,The Vitaphone Corporation,70.0,NR
6510,William Dieterle,The Brandenburg Arch,0.0,0.0,4.5,1.0,Drama,1929-05-22,Deutsche Universal-Film,112.0,NULL
6511,William Dieterle,The Firebird,0.0,0.0,5.333,3.0,Romance,1934-11-03,Warner Bros. Pictures,74.0,NR
6512,William Dieterle,The Searching Wind,0.0,0.0,0.0,0.0,Drama,1946-08-09,Hal Wallis Productions,108.0,
6513,William Dieterle,6 Hours to Live,0.0,0.0,5.5,2.0,Science Fiction,1932-10-15,Fox Film Corporation,72.0,
6514,William Dieterle,Madame du Barry,0.0,0.0,6.0,2.0,Drama,1934-10-13,Warner Bros. Pictures,79.0,
6515,William Dieterle,The Devil's in Love,0.0,0.0,6.0,1.0,Drama,1933-07-21,Fox Film Corporation,70.0,
6516,William Dieterle,Die Fastnachtsbeichte,0.0,0.0,0.0,0.0,Crime,1960-09-14,UFA,101.0,NULL
6517,William Dieterle,The White Angel,0.0,0.0,8.0,4.0,Drama,1936-06-25,Warner Bros. Pictures,92.0,NR
6518,William Dieterle,Die große Reise,0.0,0.0,0.0,0.0,Drama,1961-05-17,,0.0,NULL
6519,William Dieterle,The Confession,0.0,0.0,0.0,0.0,Drama,1964-05-22,William Marshall Productions,96.0,
6520,William Dieterle,Gabriel Schillings Flucht,0.0,0.0,0.0,0.0,Drama,1962-09-26,,0.0,NULL
6521,William Dieterle,Dubrowsky,0.0,0.0,5.0,3.0,Drama,1959-02-11,Hesperia Films,108.0,NULL
6522,William Dieterle,Mistress of the World - Part II,0.0,0.0,5.0,1.0,Science Fiction,1960-04-26,Franco London Films,89.0,NULL
6523,William Dieterle,Ein Sommernachtstraum,0.0,0.0,7.0,1.0,Comedy,1968-06-30,HR,105.0,NULL
6524,William Dieterle,Kismet,0.0,0.0,0.0,0.0,Romance,1931-01-31,First National Pictures,82.0,
6525,William Dieterle,The Saint and Her Fool,0.0,0.0,0.0,0.0,Romance,1928-10-03,Deutsche Film-Union AG (Defu) (Berlin),99.0,NULL
6526,William Dieterle,The Costume Falls,0.0,0.0,0.0,0.0,,1931-02-05,First National Pictures,73.0,NULL
6527,William Dieterle,The Holy Flames,0.0,0.0,0.0,0.0,,1931-05-02,Warner Bros. Pictures,86.0,NULL
6528,William Dieterle,Samba,0.0,0.0,0.0,0.0,Drama,1966-05-09,,0.0,NULL
6529,William Dieterle,Das Geheimnis des Abbe X,0.0,0.0,0.0,0.0,Drama,1927-12-08,,0.0,NULL
6530,William Dieterle,Man by the Roadside,0.0,0.0,0.0,0.0,Drama,1923-06-11,Osmania-Film GmbH (Berlin),0.0,NULL
6531,William Dieterle,"Das Vergnügen, anständig zu sein",0.0,0.0,0.0,0.0,Drama,1962-11-14,,0.0,NULL
6532,William Dieterle,Das Schweigen im Walde,0.0,0.0,5.0,1.0,Drama,1929-11-05,Deutsche Universal-Film,96.0,NULL
6533,William Dieterle,Ich lebe für Dich,0.0,0.0,0.0,0.0,,1929-02-09,,108.0,NULL
6534,William Dieterle,The dance goes on,0.0,0.0,0.0,0.0,,1930-11-03,,80.0,NULL
6535,William Dieterle,Frühlingsrauschen,0.0,0.0,0.0,0.0,Drama,1929-10-08,,104.0,NULL
6536,D.W. Griffith,Broken Blossoms,0.0,2400000.0,6.871,201.0,Drama,1919-05-13,D.W. Griffith Productions,89.0,
